Date,Text,Username,Id,Permalink,Retweets,Favorites
2008-06-26 19:14:42,Watching The Graduate,HBOB,844522776,https://twitter.com/HBOB/status/844522776,0,0
2016-07-31 19:57:02,ふだんは興味のなさそうな剛に、ぜひ観にきてもらいたいですね。 (舞台『卒業～THE GRADUATE～』),mykken_bot,759900713279295488,https://twitter.com/mykken_bot/status/759900713279295488,0,6
2015-09-17 19:55:01,RT john_o_eke: zination_com presenting their startup as the graduate from LSPARKGlobal # bestinsaas # startup # ottawa …,getskillingly,644660861047578625,https://twitter.com/getskillingly/status/644660861047578625,0,1
2012-09-20 19:59:12,How bout when I graduate you buy me a 5series sir?!?!!! I'm the graduate!!!!,SheSooChi,248934365550223361,https://twitter.com/SheSooChi/status/248934365550223361,0,0
2011-01-09 18:56:54,is it wrong of me to really love Elaine's wedding dress? # TheGraduate,Shannanicorn,24253312048046080,https://twitter.com/Shannanicorn/status/24253312048046080,0,0
2012-08-28 19:50:36,About to see @ TPRCinema's The Graduate. Yay for Ann Bancroft! <3 # SATX! # TPR,hntrpyanfar,240597282477707264,https://twitter.com/hntrpyanfar/status/240597282477707264,1,0
2009-01-25 18:07:26,@ alexcavallo heheh more like suzymae the movie buff. Was quoting the Graduate. Classic.,suzymae,1147667620,https://twitter.com/suzymae/status/1147667620,0,0
2015-08-10 19:28:39,"Buffalo Jobs Administrative Staff Assistant to the Graduate School - University at Buffalo - Buffalo, NY: As a... http://bit.ly/1ThMEx7",JobsNewark,630883487076093952,https://twitter.com/JobsNewark/status/630883487076093952,0,0
2009-07-12 19:58:08,Watching The Graduate. Again.,pfunder,2605702187,https://twitter.com/pfunder/status/2605702187,0,0
2008-03-19 16:37:28,"[...] by Simon & Garfunkel, which is on the record i found it in. (The Graduate) :D Kwel... !!!",youdumbbitch,774091037,https://twitter.com/youdumbbitch/status/774091037,0,0
2009-09-17 19:36:19,Puts modern day cougars to shame w/ her Mrs. Robinson character from The Graduate RT @ imdb # birthday Anne Bancroft http://tinyurl.com/nkofl8,SubhaStar,4066027579,https://twitter.com/SubhaStar/status/4066027579,0,0
2012-06-28 19:55:47,"""Mrs. Robinson, you're trying to seduce me. Aren't you? - Dustin Hoffman - The Graduate (1967)",DuaneFLWharton,218492926668447744,https://twitter.com/DuaneFLWharton/status/218492926668447744,0,0
2015-05-08 19:55:09,Grampy and the Graduate - Katie tells her paternal grandfather how life works. # expert… https://instagram.com/p/2cKxRfFItT/,PastorCharlesA,596825699274629120,https://twitter.com/PastorCharlesA/status/596825699274629120,0,0
2010-07-05 19:53:49,"Sthlmsnatten, ett glas vin, melankoli. Åh. Nu ska jag äta 2kg nektariner och kolla på The Graduate",fredrikthoren,17826175365,https://twitter.com/fredrikthoren/status/17826175365,0,0
2013-10-19 19:51:39,the graduate & caps game tonight,andidontsail,391713285235818496,https://twitter.com/andidontsail/status/391713285235818496,0,1
2010-08-24 19:59:45,"Hmmm...casino, lolita, or the graduate?",eL7e,22042716176,https://twitter.com/eL7e/status/22042716176,0,0
