Date,Text,Username,Id,Permalink,Retweets,Favorites
2014-07-23 19:58:36,Love my sissy @LandShark Landing at the Margaritaville Beach Hotel http://instagram.com/p/q0BbooHNc0/,sammershammers,492096472469745664,https://twitter.com/sammershammers/status/492096472469745664,0,1
2014-07-23 19:58:35,It's 5 O-clock Somewhere @LandShark Landing at the Margaritaville Beach Hotel http://instagram.com/p/q0BbjByhLS/,hopeeggers18,492096469231734785,https://twitter.com/hopeeggers18/status/492096469231734785,0,1
2014-07-23 19:58:16,Sheffler family reunion at the Buffett concert # margaritaville,AliSheffler,492096387891224577,https://twitter.com/AliSheffler/status/492096387891224577,0,1
2014-07-23 19:55:09,http://amzn.to/1lxeT5g #1: Tervis Tumbler Property of Margaritaville Ice Bucket with Tongs and Lid Tervis Tumb... pic.twitter.com/TtYiq97hLf,tori8413,492095605418631168,https://twitter.com/tori8413/status/492095605418631168,0,0
2014-07-23 19:51:11,Noey RT @ R__Hod: Margaritaville tonight?,JustLikeCookies,492094604301574144,https://twitter.com/JustLikeCookies/status/492094604301574144,0,0
2014-07-23 19:50:44,Margaritaville tonight?,R__Hod,492094492728889345,https://twitter.com/R__Hod/status/492094492728889345,1,0
2014-07-23 19:49:24,"@ aingle JB yes, Margaritaville no",Busymom,492094156823859201,https://twitter.com/Busymom/status/492094156823859201,0,0
2014-07-23 19:48:07,Margaritaville Mixed Drink Maker and $100 Target Gift Card # Giveaway @ momtobedby8 # SummerDreams http://ottawamommyclub.ca/win-a-margaritaville-mixed-drink-maker-mixer-and-100-target-gc-canus-0731/ …,tooliecat,492093833035776000,https://twitter.com/tooliecat/status/492093833035776000,0,0
2014-07-23 19:47:26,Wastin away again in Margaritaville!! # birthday # lovelies http://instagram.com/p/q0AJ0dAczI/,blondevicster,492093661594025985,https://twitter.com/blondevicster/status/492093661594025985,0,0
2014-07-23 19:46:37,"So ""Radio Margaritaville"" plays Buffett concerts live, and when there's no show they just play Buffett and Bob Marley.",BSkrebs14,492093455435579392,https://twitter.com/BSkrebs14/status/492093455435579392,0,1
2017-01-12 18:43:22,Jimmy Buffett - Margaritaville http://rdo.to/KVPIFM # nowplaying # listenlive,kvpifm,819691267714117632,https://twitter.com/kvpifm/status/819691267714117632,0,0
