Date,Text,Username,Id,Permalink,Retweets,Favorites
12/31/07 18:16,"<---proud owner of new Margaritaville margarita machine. Yay! =) With salt or without, guys?",LoCoHeather,550766082,https://twitter.com/LoCoHeather/status/550766082,0,0
1/1/08 1:20,"Hanging out in Margaritaville, writing....",FutureWriter,551615812,https://twitter.com/FutureWriter/status/551615812,0,0
1/5/08 17:45,Waves came into Margaritaville last night! yikes,gregrose,566509302,https://twitter.com/gregrose/status/566509302,0,0
1/6/08 2:13,Wasting away again in Margaritaville.,clindsey,567589452,https://twitter.com/clindsey/status/567589452,0,0
1/11/08 14:54,Am I drunk? Would I be asking if I were not? I made a little detour to Margaritaville.,3thom,588773912,https://twitter.com/3thom/status/588773912,0,0
1/12/08 20:24,"RadioWien,02:22: ""Margaritaville"" von Jimmy Buffett",RadioWien,592726032,https://twitter.com/RadioWien/status/592726032,0,0
1/17/08 15:56,Sitting at the airport waiting for leg one of my flight home. Margaritaville playing on the iPhone. I need to go some where warm!,macboyx,610860222,https://twitter.com/macboyx/status/610860222,0,0
1/18/08 3:28,"Okay, dammit, I'm singing Margaritaville. I'm a straight white boy, and that's the Music Of My People.",shoutingboy,612732042,https://twitter.com/shoutingboy/status/612732042,0,0
1/20/08 14:56,Lunch at Margaritaville. 3 out of 5.,davewasson,621135832,https://twitter.com/davewasson/status/621135832,0,0
1/23/08 7:32,"jimmy ""margaritaville"" buffett visited web client's surf shop this week after finding her website! http://tinyurl.com/yrdld8",martin_kelley,632009632,https://twitter.com/martin_kelley/status/632009632,0,0
1/23/08 20:59,@ vidlisting margaritaville here u come!,bkmcae,634621272,https://twitter.com/bkmcae/status/634621272,0,0
1/26/08 17:25,Back from Westgate and lunch at Margaritaville.,PapaGrande,645014752,https://twitter.com/PapaGrande/status/645014752,0,0
1/31/08 16:21,"Listening to margaritaville on radio, kinda wish I had one out here to go to and hang out with my good friends, that and its snowing out ...",Nitsuj_Kashu,663777662,https://twitter.com/Nitsuj_Kashu/status/663777662,0,0
2/1/08 12:14,"@ hthrflynn See, I could do that at Margaritaville and don't have to pretend. Well, most days.",PapaGrande,666961462,https://twitter.com/PapaGrande/status/666961462,0,0
